,State,urban
0,United States,80.7
1,Alabama,59.0
2,Alaska,66.0
3,Arizona,89.8
4,Arkansas,56.2
5,California,95.0
6,Colorado,86.2
7,Connecticut,88.0
8,Delaware,83.3
9,District of Columbia,100.0
10,Florida,91.2
11,Georgia,75.1
12,Hawaii,91.9
13,Idaho,70.6
14,Illinois,88.5
15,Indiana,72.4
16,Iowa,64.0
17,Kansas,74.2
18,Kentucky,58.4
19,Louisiana,73.2
20,Maine,38.7
21,Maryland,87.2
22,Massachusetts,92.0
23,Michigan,74.6
24,Minnesota,73.3
25,Mississippi,49.4
26,Missouri,70.4
27,Montana,55.9
28,Nebraska,73.1
29,Nevada,94.2
30,New Hampshire,60.3
31,New Jersey,94.7
32,New Mexico,77.4
33,New York,87.9
34,North Carolina,66.1
35,North Dakota,59.9
36,Ohio,77.9
37,Oklahoma,66.2
38,Oregon,81.0
39,Pennsylvania,78.7
40,Rhode Island,90.7
41,South Carolina,66.3
42,South Dakota,56.7
43,Tennessee,66.4
44,Texas,84.7
45,Utah,90.6
46,Vermont,38.9
47,Virginia,75.5
48,Washington,84.1
49,West Virginia,48.7
50,Wisconsin,70.2
51,Wyoming,64.8
